rouge1_prec,rouge1_recc,rouge1_fm,rougel_prec,rougel_recc,rougel_fm
0.5909090909090909,0.65,0.6190476190476191,0.4090909090909091,0.45,0.4285714285714286
0.75,0.8823529411764706,0.8108108108108107,0.75,0.8823529411764706,0.8108108108108107
0.5151515151515151,0.4722222222222222,0.49275362318840576,0.36363636363636365,0.3333333333333333,0.34782608695652173
0.5,0.48148148148148145,0.49056603773584906,0.38461538461538464,0.37037037037037035,0.3773584905660377
0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8461538461538461,0.7857142857142857,0.8148148148148148
0.7142857142857143,0.45454545454545453,0.5555555555555556,0.7142857142857143,0.45454545454545453,0.5555555555555556
0.8823529411764706,0.75,0.8108108108108107,0.8823529411764706,0.75,0.8108108108108107
0.5,0.8181818181818182,0.6206896551724137,0.5,0.8181818181818182,0.6206896551724137
0.6875,0.5,0.5789473684210527,0.6875,0.5,0.5789473684210527
0.7777777777777778,0.5,0.6086956521739131,0.7777777777777778,0.5,0.6086956521739131
0.47619047619047616,0.5,0.4878048780487805,0.47619047619047616,0.5,0.4878048780487805
0.8181818181818182,0.23684210526315788,0.3673469387755102,0.8181818181818182,0.23684210526315788,0.3673469387755102
0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
0.9444444444444444,0.34,0.5,0.8888888888888888,0.32,0.47058823529411764
0.3076923076923077,0.4444444444444444,0.3636363636363637,0.3076923076923077,0.4444444444444444,0.3636363636363637
0.5,0.5,0.5,0.5,0.5,0.5
0.8888888888888888,0.24242424242424243,0.38095238095238093,0.7777777777777778,0.21212121212121213,0.3333333333333333
0.8,0.631578947368421,0.7058823529411765,0.8,0.631578947368421,0.7058823529411765
0.34782608695652173,0.47058823529411764,0.39999999999999997,0.34782608695652173,0.47058823529411764,0.39999999999999997
0.5625,0.9,0.6923076923076923,0.5625,0.9,0.6923076923076923
1.0,0.6923076923076923,0.8181818181818181,0.8888888888888888,0.6153846153846154,0.7272727272727274
0.4375,0.28,0.34146341463414637,0.3125,0.2,0.24390243902439027
0.75,0.7058823529411765,0.7272727272727272,0.75,0.7058823529411765,0.7272727272727272
0.5714285714285714,0.2962962962962963,0.3902439024390244,0.42857142857142855,0.2222222222222222,0.29268292682926833
0.8,0.4444444444444444,0.5714285714285714,0.6,0.3333333333333333,0.42857142857142855
0.4,0.13333333333333333,0.2,0.4,0.13333333333333333,0.2
0.6,0.375,0.4615384615384615,0.6,0.375,0.4615384615384615
0.5384615384615384,0.3181818181818182,0.39999999999999997,0.46153846153846156,0.2727272727272727,0.3428571428571428
0.5714285714285714,0.38095238095238093,0.4571428571428571,0.42857142857142855,0.2857142857142857,0.34285714285714286
0.35,0.4375,0.38888888888888884,0.35,0.4375,0.38888888888888884
0.8181818181818182,0.47368421052631576,0.6,0.7272727272727273,0.42105263157894735,0.5333333333333333
0.6428571428571429,0.375,0.4736842105263159,0.6428571428571429,0.375,0.4736842105263159
0.5714285714285714,0.6153846153846154,0.5925925925925927,0.42857142857142855,0.46153846153846156,0.4444444444444445
0.6956521739130435,0.8421052631578947,0.761904761904762,0.6521739130434783,0.7894736842105263,0.7142857142857143
0.625,0.625,0.625,0.625,0.625,0.625
0.7,0.3888888888888889,0.5,0.6,0.3333333333333333,0.42857142857142855
0.8235294117647058,0.5,0.6222222222222222,0.7647058823529411,0.4642857142857143,0.5777777777777777
0.5,0.28125,0.36,0.5,0.28125,0.36
0.38095238095238093,0.6666666666666666,0.4848484848484849,0.38095238095238093,0.6666666666666666,0.4848484848484849
0.6470588235294118,0.44,0.5238095238095238,0.6470588235294118,0.44,0.5238095238095238
0.46153846153846156,0.4,0.42857142857142855,0.3076923076923077,0.26666666666666666,0.28571428571428575
0.47058823529411764,0.2222222222222222,0.3018867924528302,0.4117647058823529,0.19444444444444445,0.2641509433962264
0.35,0.3333333333333333,0.3414634146341463,0.35,0.3333333333333333,0.3414634146341463
0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8461538461538461,0.7857142857142857,0.8148148148148148
0.25,0.17647058823529413,0.20689655172413793,0.25,0.17647058823529413,0.20689655172413793
0.7,0.35,0.4666666666666667,0.7,0.35,0.4666666666666667
0.625,0.35714285714285715,0.45454545454545453,0.625,0.35714285714285715,0.45454545454545453
0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8461538461538461,0.7857142857142857,0.8148148148148148
0.8181818181818182,0.45,0.5806451612903226,0.8181818181818182,0.45,0.5806451612903226
0.5333333333333333,0.6666666666666666,0.5925925925925926,0.5333333333333333,0.6666666666666666,0.5925925925925926
