Time (sec),Max Height X,Max Height Y
6.633310658,0.2570943633,0.2172963703
6.666666667,0.2566918305,0.2172963703
6.7,0.2517804457,0.2177143205
6.733310658,0.2443344777,0.2189247851
6.766666667,0.2443344777,0.2289838563
6.8,0.250877687,0.2235741233
6.833310658,0.2484582403,0.229813234
6.866666667,0.2539193646,0.229813234
6.9,0.2539193646,0.2391686387
6.933310658,0.2522696026,0.2440271003
6.966666667,0.2522696026,0.2493214991
7,0.2538760773,0.2496594963
7.033310658,0.2534581764,0.2474882106
7.066666667,0.2542285035,0.2490202666
7.1,0.2607235828,0.2479561686
7.133310658,0.2611196917,0.2490970572
7.166666667,0.260722891,0.2438188664
7.2,0.2557742968,0.2349251935
7.233310658,0.2530920623,0.2469674776
7.266666667,0.2554751891,0.2441991626
7.3,0.2538253777,0.2468549107
7.333310658,0.2538253777,0.2523859076
7.366666667,0.2538253777,0.2523859076
7.4,0.2618355143,0.2505609208
7.433310658,0.2734818377,0.2489354708
7.466666667,0.2839214522,0.2506232822
7.5,0.2936248852,0.2571995994
7.533310658,0.2978531601,0.2538557998
7.566666667,0.3055896376,0.2538557998
7.6,0.3112222312,0.248531752
7.633310658,0.3215093022,0.2415974742
7.666666667,0.3158394498,0.2492561728
7.7,0.3175202443,0.2422245478
7.733310658,0.313160279,0.2393859649
7.766666667,0.3139951912,0.2361152991
7.8,0.3159996526,0.2325111824
7.833310658,0.3188592367,0.2316966291
7.866666667,0.3169392747,0.2284368346
7.9,0.3089166362,0.2264244669
7.933310658,0.3041139144,0.2226908834
7.966666667,0.3049061323,0.2239907888
8,0.3052801528,0.2239907888
8.033310658,0.3015396018,0.2239907888
8.066666667,0.2995577725,0.2239907888
8.1,0.287361413,0.2239907888
8.133310658,0.2872702921,0.2219624107
8.166666667,0.2834671327,0.2219624107
8.2,0.2622246063,0.2233509661
8.233310658,0.2658822886,0.2233509661
8.266666667,0.2628221298,0.2307539927
8.3,0.2620371266,0.2311465437
8.333310658,0.2620371266,0.2311465437
8.366666667,0.2541825972,0.2274074258
8.4,0.2537646963,0.2214598623
8.433310658,0.2537646963,0.2242251137
8.466666667,0.2537646963,0.2265759726
8.5,0.2542275152,0.2115177065
8.533310658,0.258257192,0.2040954082
8.566666667,0.2595100051,0.2005195568
8.6,0.2759807928,0.2005195568
8.633310658,0.2728283272,0.2097333386
8.666666667,0.2728283272,0.2105471013
8.7,0.2655591159,0.2105471013
8.733310658,0.2655591159,0.2105471013
8.766666667,0.272099558,0.2109649527
8.8,0.2724991259,0.215679222
8.833310658,0.2861202125,0.2186747462
8.866666667,0.284767878,0.226663338
